list-none-none,1,10,1,30,445305,14843
list-none-none,1,100,1,300,171905,573
list-none-none,1,1000,1,3000,5811252,1937
list-none-none,1,10000,1,30000,936927807,31230
list-none-none,1,20000,1,60000,6251860448,104197
list-none-none,2,1,1,6,19549082,3258180
list-none-none,2,10,1,60,18207445,303457
list-none-none,2,100,1,600,22078455,36797
list-none-none,2,1000,1,6000,36417892,6069
list-none-none,4,1,1,12,20565412,1713784
list-none-none,4,10,1,120,20171403,168095
list-none-none,4,100,1,1200,14969561,12474
list-none-none,8,100,1,2400,29308561,12211
list-d-none,2,1,1,6,41128574,6854762
list-d-none,2,2,1,12,37504550,3125379
list-d-none,2,4,1,24,46396084,1933170
list-d-none,2,8,1,48,24773559,516115
list-d-none,2,16,1,96,33628978,350301
list-d-none,2,32,1,192,27919478,145413
list-d-none,4,1,1,12,30895102,2574591
list-d-none,4,2,1,24,28610784,1192116
list-d-none,4,4,1,48,31521428,656696
list-d-none,4,8,1,96,35244487,367130
list-d-none,8,1,1,24,35740571,1489190
list-d-none,8,4,1,96,31238776,325403
list-d-none,12,1,1,36,9186848,255190
list-d-none,12,2,1,72,35170601,488480
list-d-none,12,8,1,288,57015262,197969
list-i-none,2,1,1,6,35268452,5878075
list-i-none,2,2,1,12,33099702,2758308
list-i-none,2,4,1,24,35989727,1499571
list-i-none,2,8,1,48,35217852,733705
list-i-none,2,16,1,96,32984609,343589
list-i-none,2,32,1,192,33230791,173077
list-il-none,2,2,1,12,332640,27720
list-il-none,2,4,1,24,336717,14029
list-il-none,2,8,1,48,954205,19879
list-il-none,2,16,1,96,1345546,14016
list-il-none,2,32,1,192,3467386,18059
list-il-none,4,1,1,12,378494,31541
list-il-none,4,4,1,48,30069202,626441
list-il-none,4,16,1,192,33221517,173028
list-il-none,8,1,1,24,18848724,785363
list-il-none,8,8,1,192,24178050,125927
list-il-none,8,16,1,384,4538229,11818
list-il-none,8,32,1,768,4209796,5481
list-dl-none,2,1,1,6,130532,21755
list-dl-none,2,2,1,12,9329301,777441
list-dl-none,2,4,1,24,591534,24647
list-dl-none,2,8,1,48,172220,3587
list-dl-none,2,16,1,96,372223,3877
list-dl-none,2,32,1,192,878028,4573
list-dl-none,4,1,1,12,1590872,132572
list-dl-none,4,2,1,24,357802,14908
list-dl-none,4,4,1,48,331498,6906
list-dl-none,4,16,1,192,792288,4126
list-dl-none,4,32,1,384,1971983,5135
list-dl-none,8,1,1,24,4022408,167600
list-dl-none,8,4,1,96,925956,9645
list-dl-none,8,8,1,192,700596,3648
list-dl-none,8,16,1,384,3686380,9599
list-dl-none,8,32,1,768,5164678,6724
list-dl-none,12,2,1,72,775417,10769
list-dl-none,12,4,1,144,1189020,8257
list-dl-none,12,8,1,288,4012203,13931
list-i-m,12,32,1,1152,1365472,1185
list-d-m,12,32,1,1152,10794798,9370
list-dl-m,12,32,1,1152,14032614,12181
list-il-m,12,32,1,1152,11304547,9812
list-i-m,12,16,1,576,970414,1684
list-d-m,12,16,1,576,2949672,5120
list-dl-m,12,16,1,576,4014532,6969
list-il-m,12,16,1,576,3980524,6910
list-i-m,4,32,1,384,1117214,2909
list-d-m,4,32,1,384,295148,768
list-dl-m,4,32,1,384,11146752,29028
list-il-m,4,32,1,384,6605689,17202
list-i-m,4,16,1,192,1401311,7298
list-d-m,4,16,1,192,391781,2040
list-dl-m,4,16,1,192,643564,3351
list-il-m,4,16,1,192,685119,3568
list-i-s,12,32,1,1152,18861380,16372
list-d-s,12,32,1,1152,2626151,2279
list-dl-s,12,32,1,1152,8463497,7346
list-il-s,12,32,1,1152,6058742,5259
list-i-s,12,16,1,576,979546,1700
list-d-s,12,16,1,576,590622,1025
list-dl-s,12,16,1,576,2290273,3976
list-il-s,12,16,1,576,5524063,9590
list-i-s,4,32,1,384,675898,1760
list-d-s,4,32,1,384,633622,1650
list-dl-s,4,32,1,384,1797191,4680
list-il-s,4,32,1,384,1668373,4344
list-i-s,4,16,1,192,186913,973
list-d-s,4,16,1,192,190138,990
list-dl-s,4,16,1,192,522898,2723
list-il-s,4,16,1,192,569840,2967
list-none-m,1,1000,1,3000,3730941,1243
list-none-m,2,1000,1,6000,7775103,1295
list-none-m,4,1000,1,12000,20858152,1738
list-none-m,8,1000,1,24000,46496952,1937
list-none-m,12,1000,1,36000,62335125,1731
list-none-m,16,1000,1,48000,68975635,1436
list-none-m,24,1000,1,72000,108973382,1513
list-none-s,1,1000,1,3000,5308034,1769
list-none-s,2,1000,1,6000,18849248,3141
list-none-s,4,1000,1,12000,65489377,5457
list-none-s,8,1000,1,24000,224527585,9355
list-none-s,12,1000,1,36000,503680211,13991
list-none-s,16,1000,1,48000,982838476,20475
list-none-s,24,1000,1,72000,1500641427,20842
